Metabolite	Query_protein	Protein_name	Gene_ID	Uniprot_ID	Protein_complex	log2_abundance	log2_abundance_corrected	met_mean (model comparison)	met_sd (model comparison)	p_value	q_value	Common_metabolite_name	MIDAS_ID	Pool	KEGG_ID_metabolite	HMDB_ID_metabolite	SMILES_metabolite
(R)-Hydroxyisobutyrate	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-0.812624406	-0.629151003	0.004815031	0.11211442	1.56E-08	1.22E-06	(R)-3-Hydroxyisobutyric acid	CNC_161	4		HMDB00336	C[C@H](CO)C(O)=O
2-Hydroxybutanoic acid	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-0.812624406	-0.629151003	0.004815031	0.11211442	1.56E-08	1.22E-06	2-Hydroxybutyric acid	20C_56	4	C05984	HMDB00008	CCC(O)C(O)=O
N-Formylanthranilic acid	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-0.596814193	-0.856831037	0.044612122	0.161138733	2.22E-08	1.72E-06	Formylanthranilic acid	20C_80	4	 C05653	HMDB04089	OC(=O)C1=CC=CC=C1NC=O
Cytidine monophosphate	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-0.525202176	1.074870824	0.106293805	0.173215687	2.25E-08	1.74E-06	Cytidine monophosphate	4C_16	3	C00055	HMDB00095	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
D-3-Phosphoglyceric acid	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		0.00763664	0.891291289	-0.020353173	0.163132147	2.29E-08	1.77E-06	(2R)-2-Hydroxy-3-(phosphonatooxy)propanoate	20C_50	4	C00197	HMDB60180	O[C@H](COP(O)(O)=O)C(O)=O
3-Phosphoadenosine 5-phosphosulfate	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-3.828326048	-0.823936583	-0.02970801	0.142775602	2.66E-08	2.03E-06	Phosphoadenosine phosphosulfate	70C_1	4	C00053	HMDB01134	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](OP(O)(O)=O)[C@H]1O
4-Pyridoxic acid	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-0.521690119	-0.652739483	0.021997055	0.121645702	2.91E-08	2.21E-06	4-Pyridoxic acid	CNC_187	4	C00847	HMDB00017	CC1=NC=C(CO)C(C(O)=O)=C1O
3-Hydroxyanthranilic acid	IDH3AB	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial"	IDH3A; IDH3B	P50213; O43837	AB	0.623316081	0.655594434	-0.013989704	0.120779228	2.96E-08	2.24E-06	3-Hydroxyanthranilic acid	H_15	4	C00632	HMDB01476	NC1=C(O)C=CC=C1C(O)=O
5-Methyltetrahydrofolic acid	PKM2	Pyruvate kinase PKM	PKM	P14618		0.796969389	0.894401746	-0.005984376	0.162425171	2.97E-08	2.25E-06	5-Methyltetrahydrofolic acid	20C_48	4	C00440	HMDB01396	CN1C(CNC2=CC=C(C=C2)C(=O)N[C@H](CCC(O)=O)C(O)=O)CNC2=C1C(=O)NC(N)=N2
O-Phospho-L-serine	ENO1	Alpha-enolase	ENO1	P06733		0.594157025	0.897096136	-0.017424468	0.165140443	3.06E-08	2.31E-06	Phosphoserine	P_2	4	C01005	HMDB00272	N[C@@H](COP(O)(O)=O)C(O)=O
Thymidine monophosphate	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-1.026854773	-0.758748412	-0.050286616	0.128113573	3.20E-08	2.40E-06	5-Thymidylic acid	20C_37	4	C00364	HMDB01227	CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)NC1=O
"Adenosine 3,5-diphosphate"	IDH3AG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3G	P50213; P51553	AG	0.438895655	0.659832496	-0.031784661	0.125332365	3.42E-08	2.56E-06	"Adenosine 3',5'-diphosphate"	CNC_92	4	C00054	HMDB00061	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H]1O
Glutathione disulfide	GCK	Hexokinase-4	GCK	P35557		-5.299912821	-1.905500214	0.135602568	0.373513526	4.64E-08	3.42E-06	Oxidized glutathione	4C_29	4	C00127	HMDB03337	NC(CCC(=O)NC(CSSCC(NC(=O)CCC(N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O
Acetylamino-acetic acid	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-1.077633247	-0.857904096	-0.013630866	0.155014083	5.14E-08	3.74E-06	Acetylglycine	CNC_13	4		HMDB00532	CC(=O)NCC(O)=O
"N,N-Diacetylchitobiose"	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-0.207249133	0.648809438	0.000153395	0.119209326	5.29E-08	3.84E-06	Chitobiose	CNC_100	2	C01674	HMDB03556	CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(O)=O)[C@@H]1O
Phosphoenolpyruvic acid	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	GAPDH	P04406		-2.466772534	-0.74405617	-0.00828918	0.135252264	5.33E-08	3.86E-06	Phosphoenolpyruvic acid	20C_59	4	 C00074	HMDB00263	OC(=O)C(=C)OP(O)(O)=O
Prostaglandin D2	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-0.734356895	-0.791344991	-0.034898089	0.139182198	5.48E-08	3.95E-06	Prostaglandin D2	Cay_10	4	C00696	HMDB01403	CCCCC[C@H](O)\C=C\[C@@H]1[C@@H](C\C=C/CCCC(O)=O)[C@@H](O)CC1=O
Prostaglandin E2	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-0.734356895	-0.791344991	-0.034898089	0.139182198	5.48E-08	3.95E-06	Prostaglandin E2	Cay_2	4	C00584	HMDB01220	CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O
Prostaglandin I2	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-0.734356895	-0.791344991	-0.034898089	0.139182198	5.48E-08	3.95E-06	Prostaglandin I2	Cay_11	4	C01312	HMDB01335	CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2OC(C[C@H]12)=CCCCC(O)=O
L-Tryptophan	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-0.606428018	-0.483570921	-0.007783188	0.087766376	5.92E-08	4.25E-06	L-Tryptophan	T_6	4	C00078	HMDB00929	N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O
Phosphatidylserine	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-1.802198703	-0.922163478	-0.024867596	0.16612485	6.61E-08	4.66E-06	PS(16:0/16:0)	AVL_6	4	C02737	HMDB00614	CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC[C@H](N)C(O)=O)OC(=O)CCCCCCCCCCCCCCC
Glutathione disulfide	IDH3AG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3G	P50213; P51553	AG	-3.273273953	-1.879836219	0.135602568	0.373513526	6.82E-08	4.80E-06	Oxidized glutathione	4C_29	4	C00127	HMDB03337	NC(CCC(=O)NC(CSSCC(NC(=O)CCC(N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O
3-Phosphoadenosine 5-phosphosulfate	ALDOAconc	Fructose-bisphosphate aldolase A	ALDOA	P04075		-2.369664578	-0.798948212	-0.02970801	0.142775602	7.13E-08	5.00E-06	Phosphoadenosine phosphosulfate	70C_1	4	C00053	HMDB01134	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](OP(O)(O)=O)[C@H]1O
2-Deoxyadenosine 5-triphosphate	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-9.132002412	-2.054466594	0.074184068	0.397153553	8.33E-08	5.81E-06	Deoxyadenosine triphosphate	20C_73	2	 C00131	HMDB01532	NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1
Phosphatidylethanolamine	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-1.829022641	-1.161871163	-0.019202806	0.213481507	8.67E-08	6.03E-06	Phosphatidylethanolamine	AVL_5	4	C00416		CCCCCC(=O)OC[C@H](CO[P@@](=O)(O)OCCN)OC(=O)CCCCC
Propionyl coenzyme A	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-8.810649845	-2.875924351	0.274177225	0.58860389	8.71E-08	6.05E-06	Propionyl-CoA	CNC_55	4	C00100	HMDB01275	CCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
Malonyl coenzyme A	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-4.678554947	-1.057289994	0.069387638	0.212125818	1.09E-07	7.48E-06	Malonyl-CoA	CNC_74	2	C00083	HMDB01175	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)=O
Malonyl coenzyme A	ALDOCconc	Fructose-bisphosphate aldolase C	ALDOC	P09972		0.359245132	1.19449678	0.069387638	0.212125818	1.13E-07	7.74E-06	Malonyl-CoA	CNC_74	2	C00083	HMDB01175	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)=O
Phosphoenolpyruvic acid	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-2.373851789	0.708133151	-0.00828918	0.135252264	1.18E-07	8.03E-06	Phosphoenolpyruvic acid	20C_59	4	 C00074	HMDB00263	OC(=O)C(=C)OP(O)(O)=O
Nicotinamide ribotide	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	GAPDH	P04406		-0.223836772	1.061580848	0.075998141	0.186623951	1.28E-07	8.72E-06	Nicotinamide ribotide	CNC_14	2	C00455	HMDB00229	NC(=O)C1=CC=C[N+](=C1)[C@@H]1O[C@H](COP(O)([O-])=O)[C@@H](O)[C@H]1O
Guanosine 5-monophosphate	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		-1.161062684	1.404034684	0.249754336	0.218883414	1.34E-07	9.07E-06	Guanosine monophosphate	G_17	2	C00144	HMDB01397	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1
Phosphoenolpyruvic acid	ALDOBconc	Fructose-bisphosphate aldolase B	ALDOB	P05062		-1.305705579	0.704014755	-0.00828918	0.135252264	1.39E-07	9.42E-06	Phosphoenolpyruvic acid	20C_59	4	 C00074	HMDB00263	OC(=O)C(=C)OP(O)(O)=O
Adenosine 5-phosphosulfate	MDH2	"Malate dehydrogenase, mitochondrial"	MDH2	P40926		2.981588291	2.97505191	0.060278754	0.553791663	1.41E-07	9.56E-06	Adenosine phosphosulfate	CNC_26_R	3	C00224	HMDB01003	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](O)[C@H]1O
Octanoic acid	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-0.819896061	-0.677821334	-0.018935331	0.125246992	1.44E-07	9.66E-06	Caprylic acid	Acid_4	4	C06423	HMDB00482	CCCCCCCC(O)=O
Xanthosine	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		0.160627816	0.469717038	0.00828681	0.087723957	1.44E-07	9.68E-06	Xanthosine	X_4	3	C01762	HMDB00299	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(O)N=C2O
2-Deoxycytidine 5-diphosphate	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-0.867571432	0.677667531	-0.019837518	0.133070389	1.59E-07	1.07E-05	dCDP	CNC_53	4	C00705	HMDB01245	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O1
3-Phosphoadenosine 5-phosphosulfate	CS	"Citrate synthase, mitochondrial"	CS	O75390		0.632337639	0.716528578	-0.02970801	0.142775602	1.73E-07	1.15E-05	Phosphoadenosine phosphosulfate	70C_1	4	C00053	HMDB01134	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](OP(O)(O)=O)[C@H]1O
6-Deoxy-L-galactonic acid	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-0.876038861	-0.794539699	-0.028940524	0.146600115	1.77E-07	1.17E-05	6-Deoxy-L-galactonic acid	CNC_138	4	C01720		C[C@@H]([C@H]([C@H]([C@@H](C(=O)O)O)O)O)O
D-Glucose	E3	"Dihydrolipoyl dehydrogenase, mitochondrial"	DLD	P09622	?	0.157454453	0.933243171	-0.014318995	0.181492256	1.78E-07	1.18E-05	D-Glucose	G_1	2	C00031	HMDB00122	OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
D-Mannose	E3	"Dihydrolipoyl dehydrogenase, mitochondrial"	DLD	P09622	?	0.157454453	0.933243171	-0.014318995	0.181492256	1.78E-07	1.18E-05	D-Mannose	M_2	2	C00159	HMDB00169	OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O
Deoxycytidine triphosphate	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-7.255858928	-1.03908992	0.058657069	0.210260731	1.78E-07	1.18E-05	dCTP	CNC_99	4	C00458	HMDB00998	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1
6-Phosphogluconic acid	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-6.542888084	-3.09256031	0.077463331	0.607355573	1.80E-07	1.18E-05	6-Phosphogluconic acid	20C_61	4	 C00345	HMDB01316	O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O
D-Sedoheptulose 7-phosphate	FH	"Fumarate hydratase, mitochondrial"	FH	P07954		0.402069281	0.717541809	-0.045031132	0.146182904	1.82E-07	1.20E-05	D-Sedoheptulose 7-phosphate	20C_63	4	C05382	HMDB01068	OCC1(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O
Dulcitol	IDH3A2BG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3B; IDH3G	P50213; O43837; P51553	A2BG	-0.35730155	0.649790458	0.029005234	0.119278359	1.95E-07	1.28E-05	Galactitol	D_2	1	C01697	HMDB00107	OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
Glutathione disulfide	ALDOAconc	Fructose-bisphosphate aldolase A	ALDOA	P04075		-3.474078293	-1.807019217	0.135602568	0.373513526	1.98E-07	1.30E-05	Oxidized glutathione	4C_29	4	C00127	HMDB03337	NC(CCC(=O)NC(CSSCC(NC(=O)CCC(N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O
Cytidine 5-triphosphate	PFKP	"ATP-dependent 6-phosphofructokinase, platelet type"	PFKP	Q01813		-2.06823455	-1.097758539	0.065741073	0.223870797	2.02E-07	1.32E-05	Cytidine triphosphate	CNC_68	4	C00063	HMDB00082	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
3-Sulfopyruvic acid	GCK	Hexokinase-4	GCK	P35557		-2.456753058	-0.951131276	0.069336921	0.196816482	2.16E-07	1.41E-05	3-Sulfopyruvic acid	CNC_102	3	C05528	HMDB04045	OC(=O)C(=O)CS(O)(=O)=O
2-Deoxyguanosine 5-diphosphate	IDH3AB	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial"	IDH3A; IDH3B	P50213; O43837	AB	0.373209667	0.897646282	-0.011968468	0.175480783	2.18E-07	1.41E-05	dGDP	CNC_76	2	C00361	HMDB00960	NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O2)C(=O)N1
Adenosine diphosphate	IDH3AB	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial"	IDH3A; IDH3B	P50213; O43837	AB	0.373209667	0.897646282	-0.011968468	0.175480783	2.18E-07	1.41E-05	ADP	20C_18	2	C00008	HMDB01341	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
D-Maltose	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-1.122702232	-0.752515707	-0.002209999	0.144770505	2.19E-07	1.41E-05	D-Maltose	M_4	2	C00208	HMDB00163	OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
Melibiose	E2	"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial"	DLAT	P10515	?	-1.122702232	-0.752520784	-0.00221292	0.14477107	2.19E-07	1.41E-05	Melibiose	M_3	2	C05402	HMDB00048	OC[C@H]1O[C@H](OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O
N-Acetyl-D-glucosamine 6-phosphate	FBPase-L	"Fructose-1,6-bisphosphatase 1"	FBP1	P09467		0.328474203	0.475167142	0.000544907	0.091587709	2.19E-07	1.42E-05	N-Acetyl-D-Glucosamine 6-Phosphate	CNC_71	3	C00357	HMDB01062	CC(=O)N[C@H]1C(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O
Adenosine diphosphate	GCK	Hexokinase-4	GCK	P35557		0.187737462	0.896429118	-0.011968468	0.175480783	2.26E-07	1.46E-05	ADP	20C_18	2	C00008	HMDB01341	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
2-Deoxyguanosine 5-diphosphate	GCK	Hexokinase-4	GCK	P35557		0.187737462	0.896429118	-0.011968468	0.175480783	2.26E-07	1.46E-05	dGDP	CNC_76	2	C00361	HMDB00960	NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O2)C(=O)N1
"D-Fructose 1,6-bisphosphate"	ALDOBconc	Fructose-bisphosphate aldolase B	ALDOB	P05062		-1.43371138	0.814774435	-0.024882018	0.162676824	2.45E-07	1.57E-05	"beta-D-Fructose 1,6-bisphosphate"	20C_7	4	C05378	HMDB60444	O[C@H]1[C@H](O)[C@@](O)(COP(O)(O)=O)O[C@@H]1COP(O)(O)=O
"D-Glucose 1,6-bisphosphate"	ALDOBconc	Fructose-bisphosphate aldolase B	ALDOB	P05062		-1.43371138	0.814774435	-0.024882018	0.162676824	2.45E-07	1.57E-05	"Alpha-D-Glucose 1,6-bisphosphate"	CNC_66	4	C01231	HMDB03514	O[C@H]1[C@H](O)[C@@H](COP(O)(O)=O)O[C@H](OP(O)(O)=O)[C@@H]1O
Thiamine pyrophosphate	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-0.233874114	0.550379224	-0.004888436	0.107616179	2.47E-07	1.58E-05	Thiamine pyrophosphate	20C_2	2	C00068	HMDB01372	CC1=C(CCO[P@](O)(=O)OP(O)(O)=O)SC=[N+]1CC1=CN=C(C)N=C1N
Acetyl coenzyme A	GCK	Hexokinase-4	GCK	P35557		-0.096031312	1.416007905	0.040343501	0.266698489	2.49E-07	1.59E-05	Acetyl-CoA	CNC_84	2	C00024	HMDB01206	CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
L-Asparagine	GCK	Hexokinase-4	GCK	P35557		-1.22236858	-0.551791413	0.041926331	0.115194239	2.55E-07	1.61E-05	L-Asparagine	A_11	1	C00152	HMDB00168	N[C@@H](CC(N)=O)C(O)=O
3-Ureidopropionic acid	GCK	Hexokinase-4	GCK	P35557		-1.22236858	-0.551791413	0.041926331	0.115194239	2.55E-07	1.61E-05	Ureidopropionic acid	U_6	1	C02642	HMDB00026	NC(=O)NCCC(O)=O
L-alpha-Glycerophosphorylcholine	IDH3AG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3G	P50213; P51553	AG	-4.404875489	-2.653996127	0.059749049	0.52682561	2.59E-07	1.63E-05	Glycerophosphocholine	CNC_79	1	C00670	HMDB00086	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](O)CO
Hippuric acid	ALDOBconc	Fructose-bisphosphate aldolase B	ALDOB	P05062		-1.379099128	-0.791916195	0.043351772	0.162217169	2.62E-07	1.65E-05	Hippuric acid	CNC_132	1	C01586	HMDB00714	OC(=O)CNC(=O)C1=CC=CC=C1
Glutathione disulfide	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-2.026771756	2.056455695	0.135602568	0.373513526	2.71E-07	1.70E-05	Oxidized glutathione	4C_29	4	C00127	HMDB03337	NC(CCC(=O)NC(CSSCC(NC(=O)CCC(N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O
D-Aspartate	IDH2	"Isocitrate dehydrogenase [NADP], mitochondrial"	IDH2	P48735		0.381759515	0.432208717	-0.03401901	0.090900285	2.91E-07	1.83E-05	D-Aspartic acid	A_12	3	C00402	HMDB06483	N[C@H](CC(O)=O)C(O)=O
L-Aspartate	IDH2	"Isocitrate dehydrogenase [NADP], mitochondrial"	IDH2	P48735		0.381759515	0.432208717	-0.03401901	0.090900285	2.91E-07	1.83E-05	L-Aspartic acid	A_10	3	C00049	HMDB00191	N[C@@H](CC(O)=O)C(O)=O
Phosphoenolpyruvic acid	ALDOCconc	Fructose-bisphosphate aldolase C	ALDOC	P09972		-1.387973998	-0.700309615	-0.00828918	0.135252264	3.11E-07	1.93E-05	Phosphoenolpyruvic acid	20C_59	4	 C00074	HMDB00263	OC(=O)C(=C)OP(O)(O)=O
(R)-3-Hydroxybutyric acid	ACSS2A-c203	"Acetyl-coenzyme A synthetase, cytoplasmic"	ACSS2	Q9NR19		-1.218293738	-0.764799105	-0.037168408	0.142244177	3.13E-07	1.93E-05	(R)-3-Hydroxybutyric acid	CNC_153	2	C01089	HMDB00011	C[C@@H](O)CC(O)=O
Phosphatidic Acid	E1	"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial"	PDHA1	P08559	?	-1.308816407	-1.374843555	0.04042603	0.277508721	3.40E-07	2.09E-05	Phosphatidic acid	AVL_2	4	C00350		O=P(O)(OC[C@H](OC(=O)CCCCC)COC(=O)CCCCC)O
Acetyl coenzyme A	IDH3AG	"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	IDH3A; IDH3G	P50213; P51553	AG	0.609964765	1.400100174	0.040343501	0.266698489	3.42E-07	2.10E-05	Acetyl-CoA	CNC_84	2	C00024	HMDB01206	CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
L-a-Aspartyl-L-phenylalanine	GCK	Hexokinase-4	GCK	P35557		-2.667303434	-0.857243574	0.043544138	0.176767029	3.47E-07	2.12E-05	Aspartylphenylalanine	CNC_112	3		HMDB00706	N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O
5-Phospho-D-ribose 1-diphosphate	ALDOAconc	Fructose-bisphosphate aldolase A	ALDOA	P04075		-2.31148548	1.507357114	0.140641604	0.268547514	3.59E-07	2.19E-05	Phosphoribosyl pyrophosphate	20C_49	4	C00119	HMDB00280	O[C@H]1[C@@H](O)[C@@H](OP(O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O
2-Deoxyguanosine 5-diphosphate	ALDOCconc	Fructose-bisphosphate aldolase C	ALDOC	P09972		0.425460891	0.878838973	-0.011968468	0.175480783	3.85E-07	2.34E-05	dGDP	CNC_76	2	C00361	HMDB00960	NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O2)C(=O)N1
Adenosine diphosphate	ALDOCconc	Fructose-bisphosphate aldolase C	ALDOC	P09972		0.425460891	0.878838973	-0.011968468	0.175480783	3.85E-07	2.34E-05	ADP	20C_18	2	C00008	HMDB01341	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
6-Phosphogluconic acid	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-1.095926663	3.155349143	0.077463331	0.607355573	4.03E-07	2.44E-05	6-Phosphogluconic acid	20C_61	4	 C00345	HMDB01316	O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O
4-Imidazoleacetic acid	ALDOCconc	Fructose-bisphosphate aldolase C	ALDOC	P09972		-0.727385052	-0.38378224	0.024197746	0.080563697	4.10E-07	2.48E-05	Imidazoleacetic acid	I_7	1	C02835	HMDB02024	OC(=O)CC1=CN=CN1
"D-myo-Inositol-1,4,5-triphosphate"	PGK1	Phosphoglycerate kinase 1	PGK1	P00558		-4.415248097	1.511902479	0.051204005	0.288805428	4.24E-07	2.56E-05	"Inositol 1,4,5-trisphosphate"	Cay_7	4	C01245	HMDB01498	O[C@@H]1[C@H](O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@@H](O)[C@@H]1OP(O)(O)=O
